celltype,cohens_d,p_value,is_epithelial,p_adj,HC_mean,SLE_mean,HC_n_cells,SLE_n_cells,sig
Myeloid,-0.3087286436002852,0.08335374138398,False,0.0926152682044223,-0.028473392913495457,-0.03878914757707725,133,13,ns
Plasma,-0.2505462166469477,2.2053291037026724e-05,False,7.351097012342241e-05,0.0026609040969093473,-0.004168595042236873,3104,302,***
CD8+ T cells,-0.248285467087009,0.0004426723008633,False,0.0011066807521583,-0.010739301022857991,-0.014629370054848665,1045,2472,**
B cells,-0.1928145355742317,0.0093743243538261,False,0.0133918919340373,-0.002490385923551245,-0.004940994591780097,362,143,*
Goblet,0.049730986724703,0.5736566214291887,True,0.5736566214291887,0.012956813501566135,0.015331615584396897,462,1255,ns
Stem/TA,0.1135162822517831,0.0597594684259522,True,0.0746993355324402,-0.006877206803495368,-0.004188115898809091,1948,2502,ns
Enterocytes,0.1978823032923028,7.379876664623893e-30,True,7.379876664623891e-29,0.009115602136770236,0.019699219406646182,1476,2976,***
CD4+ T cells,0.2272231948929624,2.2505384837324852e-09,False,1.1252692418662425e-08,-0.017975465755693667,-0.015296207635514703,840,420,***
Enteroendocrine,0.2914461003831665,0.0007432818906607,True,0.0014865637813214,-0.005454495510635496,0.004459410117874896,455,104,**
Tuft,0.3418168563610956,0.0014193015025003,True,0.0023655025041671,-0.006766963701182157,0.001929639449541433,564,110,**
