celltype,gene,marker_group,marker_order,actual_var_name,mean_expression,fraction_expressing_pct,celltype_n,scaled_mean_expression
Stem/TA,LGR5,Stem/TA,1,LGR5,0.026741573033707864,1.752808988764045,4450,1.0
Stem/TA,OLFM4,Stem/TA,2,OLFM4,0.2440449438202247,6.224719101123596,4450,1.0
Stem/TA,MKI67,Stem/TA,3,MKI67,0.3004494382022472,10.808988764044944,4450,1.0
Stem/TA,FABP1,Enterocytes,4,FABP1,14.399101123595505,75.95505617977528,4450,0.14359366297942658
Stem/TA,ALPI,Enterocytes,5,ALPI,0.006741573033707865,0.651685393258427,4450,0.24804531525675552
Stem/TA,SLC26A3,Enterocytes,6,SLC26A3,0.46539325842696627,25.280898876404496,4450,0.039622793705343794
Stem/TA,BEST4,Enterocytes,7,BEST4,0.061348314606741575,3.50561797752809,4450,0.014095428715700058
Stem/TA,MUC2,Goblet,8,MUC2,0.6775280898876405,21.43820224719101,4450,0.03131139880500856
Stem/TA,TFF3,Goblet,9,TFF3,2.7939325842696627,34.651685393258425,4450,0.08211007938808866
Stem/TA,SPDEF,Goblet,10,SPDEF,0.06112359550561798,5.258426966292134,4450,0.14455814529358962
Stem/TA,CHGA,Enteroendocrine,11,CHGA,0.040224719101123595,1.6179775280898878,4450,0.010314503659416555
Stem/TA,NEUROD1,Enteroendocrine,12,NEUROD1,0.0011235955056179776,0.0898876404494382,4450,0.005509560417898679
Stem/TA,TPH1,Enteroendocrine,13,TPH1,0.004719101123595505,0.40449438202247195,4450,0.008192476795310209
Stem/TA,TRPM5,Tuft,14,TRPM5,0.005842696629213483,0.44943820224719105,4450,0.008598204209803248
Stem/TA,POU2F3,Tuft,15,POU2F3,0.0071910112359550565,0.6741573033707865,4450,0.009196853079760358
Stem/TA,SH2D6,Tuft,16,SH2D6,0.008089887640449439,0.7191011235955056,4450,0.004487723678734915
Stem/TA,CD8A,CD8+ T cells,17,CD8A,0.018202247191011236,1.4831460674157304,4450,0.020112253650891143
Stem/TA,NKG7,CD8+ T cells,18,NKG7,0.03056179775280899,2.337078651685393,4450,0.013952723890303219
Stem/TA,GZMB,CD8+ T cells,19,GZMB,0.0071910112359550565,0.5393258426966292,4450,0.01878958879409653
Stem/TA,LEF1,CD4+ T cells,20,LEF1,0.008764044943820225,0.7415730337078652,4450,0.07615652847733438
Stem/TA,IL7R,CD4+ T cells,21,IL7R,0.06764044943820224,3.146067415730337,4450,0.015652642566932377
Stem/TA,CD40LG,CD4+ T cells,22,CD40LG,0.006292134831460674,0.4943820224719101,4450,0.01627944535449784
Stem/TA,MS4A1,B cells,23,MS4A1,0.020674157303370785,0.7415730337078652,4450,0.0082468005041092
Stem/TA,CD79A,B cells,24,CD79A,0.03325842696629214,2.247191011235955,4450,0.0053618362254089676
Stem/TA,CD38,Plasma,25,CD38,0.039550561797752806,2.8314606741573036,4450,0.03441718928826963
Stem/TA,MZB1,Plasma,26,MZB1,0.06741573033707865,5.370786516853933,4450,0.0022199034069362066
Stem/TA,XBP1,Plasma,27,XBP1,0.4458426966292135,26.89887640449438,4450,0.04374395469523023
Stem/TA,LYZ,Myeloid,28,LYZ,0.18764044943820224,5.50561797752809,4450,0.011932836500890812
Stem/TA,C1QA,Myeloid,29,C1QA,0.12471910112359551,3.101123595505618,4450,0.009621465630703378
Stem/TA,CD68,Myeloid,30,CD68,0.043146067415730335,3.168539325842697,4450,0.02133475280220786
Enterocytes,LGR5,Stem/TA,1,LGR5,0.00022461814914645105,0.022461814914645106,4452,0.008399586249594177
Enterocytes,OLFM4,Stem/TA,2,OLFM4,0.011455525606469003,0.9883198562443846,4452,0.04694022923461056
Enterocytes,MKI67,Stem/TA,3,MKI67,0.01078167115902965,1.0332434860736748,4452,0.030764584888095418
Enterocytes,FABP1,Enterocytes,4,FABP1,97.27695417789758,94.6765498652291,4452,1.0
Enterocytes,ALPI,Enterocytes,5,ALPI,0.027178796046720573,2.6504941599281224,4452,1.0
Enterocytes,SLC26A3,Enterocytes,6,SLC26A3,10.161725067385445,75.92093441150045,4452,1.0
Enterocytes,BEST4,Enterocytes,7,BEST4,3.3942048517520216,21.181491464510334,4452,1.0
Enterocytes,MUC2,Goblet,8,MUC2,0.3436657681940701,19.474393530997304,4452,0.014821975595273824
