celltype,gene,marker_group,marker_order,mean_expression_log1p_cp10k,scaled_mean_expression
Stem/TA,ASCL2,Stem/TA,1,0.1068784225932885,1.0
Enterocytes,ASCL2,Stem/TA,1,0.0016803694629602,0.015722251715434
Goblet,ASCL2,Stem/TA,1,0.0108763953589217,0.1017641830316904
Enteroendocrine,ASCL2,Stem/TA,1,0.0216959388373167,0.2029964356779266
Tuft,ASCL2,Stem/TA,1,0.0273043590987947,0.2554712021031396
CD8+ T cells,ASCL2,Stem/TA,1,0.0084871312470693,0.0794092113369411
CD4+ T cells,ASCL2,Stem/TA,1,0.0,0.0
B cells,ASCL2,Stem/TA,1,0.0033554834546247,0.0313953310051517
Plasma,ASCL2,Stem/TA,1,0.0,0.0
Myeloid,ASCL2,Stem/TA,1,0.0,0.0
Stem/TA,STMN1,Stem/TA,2,0.851354196256745,1.0
Enterocytes,STMN1,Stem/TA,2,0.0382930471371073,0.0449789844291308
Goblet,STMN1,Stem/TA,2,0.106055731248131,0.1245729823314895
Enteroendocrine,STMN1,Stem/TA,2,0.4507228861981395,0.5294187638704184
Tuft,STMN1,Stem/TA,2,0.1963612004515575,0.2306457186855051
CD8+ T cells,STMN1,Stem/TA,2,0.153707084601591,0.180544226219139
CD4+ T cells,STMN1,Stem/TA,2,0.0,0.0
B cells,STMN1,Stem/TA,2,0.1558534660307561,0.1830653642350228
Plasma,STMN1,Stem/TA,2,0.0348149041804942,0.0408935603225652
Myeloid,STMN1,Stem/TA,2,0.1236683785183772,0.1452607845972045
Stem/TA,TOP2A,Stem/TA,3,0.2587982119610474,1.0
Enterocytes,TOP2A,Stem/TA,3,0.0124514047850381,0.0481124065374619
Goblet,TOP2A,Stem/TA,3,0.0351548098678636,0.1358386891527478
Enteroendocrine,TOP2A,Stem/TA,3,0.0879569139141097,0.3398667759240488
Tuft,TOP2A,Stem/TA,3,0.0287286523042352,0.1110079242300146
CD8+ T cells,TOP2A,Stem/TA,3,0.0696801982902155,0.2692452848194459
CD4+ T cells,TOP2A,Stem/TA,3,0.0,0.0
B cells,TOP2A,Stem/TA,3,0.0626821445609311,0.2422047049164531
Plasma,TOP2A,Stem/TA,3,0.040438763385463,0.1562559612720569
Myeloid,TOP2A,Stem/TA,3,0.0871908942106786,0.3369068648117324
Stem/TA,SLC26A3,Enterocytes,4,0.1926009522168517,0.0627600615000518
Enterocytes,SLC26A3,Enterocytes,4,3.068845817123564,1.0
Goblet,SLC26A3,Enterocytes,4,0.1604308263813343,0.0522772520816006
Enteroendocrine,SLC26A3,Enterocytes,4,0.2670804986225179,0.0870296243402847
Tuft,SLC26A3,Enterocytes,4,0.1302591165984916,0.0424456373375524
CD8+ T cells,SLC26A3,Enterocytes,4,0.0131496152286986,0.0042848732104188
CD4+ T cells,SLC26A3,Enterocytes,4,0.0,0.0
B cells,SLC26A3,Enterocytes,4,0.0035478461564228,0.0011560848500848
Plasma,SLC26A3,Enterocytes,4,0.037926973828745,0.0123587094591457
Myeloid,SLC26A3,Enterocytes,4,1.709832015037467e-12,5.57158005624439e-13
Stem/TA,KRT20,Enterocytes,5,0.1044011446294698,0.0468379999886166
Enterocytes,KRT20,Enterocytes,5,2.228983830539172,1.0
Goblet,KRT20,Enterocytes,5,0.4368340836400153,0.1959790275976596
Enteroendocrine,KRT20,Enterocytes,5,1.0703122735268735,0.4801794696141638
Tuft,KRT20,Enterocytes,5,0.1851396598449114,0.0830601179372755
CD8+ T cells,KRT20,Enterocytes,5,0.0096162284371924,0.0043141759511169
CD4+ T cells,KRT20,Enterocytes,5,5.1984451954503984e-14,0.0
B cells,KRT20,Enterocytes,5,0.0028463331293461,0.0012769644581072
Plasma,KRT20,Enterocytes,5,0.0450540645550322,0.0202128270011196
Myeloid,KRT20,Enterocytes,5,0.0114795999678136,0.005150149503321
Stem/TA,VIL1,Enterocytes,6,0.4105561778454651,0.32529874165199
Enterocytes,VIL1,Enterocytes,6,1.2620896587564574,1.0
Goblet,VIL1,Enterocytes,6,0.6536079151580598,0.5178775617273202
Enteroendocrine,VIL1,Enterocytes,6,0.3391906380414148,0.2687532028236575
Tuft,VIL1,Enterocytes,6,0.829604932202837,0.6573264636525511
CD8+ T cells,VIL1,Enterocytes,6,0.0006820650936664,0.0005404252296452
CD4+ T cells,VIL1,Enterocytes,6,0.0,0.0
B cells,VIL1,Enterocytes,6,3.860944516158953e-08,3.0591681734902733e-08
Plasma,VIL1,Enterocytes,6,0.0384381481972826,0.03045595685742
Myeloid,VIL1,Enterocytes,6,0.0076335617827122,0.0060483514223812
Stem/TA,MUC2,Goblet,7,0.6301813924342341,0.1451831326394746
Enterocytes,MUC2,Goblet,7,0.0860184026634117,0.0198171848824005
Goblet,MUC2,Goblet,7,4.340596465838282,1.0
Enteroendocrine,MUC2,Goblet,7,0.4290312597287539,0.0988415447290138
Tuft,MUC2,Goblet,7,0.1304855038024706,0.0300616527773149
CD8+ T cells,MUC2,Goblet,7,0.0030030754249416,0.0006918577777447
CD4+ T cells,MUC2,Goblet,7,0.0,0.0
B cells,MUC2,Goblet,7,0.0351563824442434,0.0080994358081738
Plasma,MUC2,Goblet,7,0.0371623682821634,0.008561581011882
Myeloid,MUC2,Goblet,7,0.0188982930916538,0.0043538470439232
Stem/TA,TFF3,Goblet,8,0.3128784798208446,0.1070116007309782
Enterocytes,TFF3,Goblet,8,0.168556226537356,0.0576500871049482
